uidp,occ_name,Correct Occupation,Broad Categories,In-detail Categories
L0517155016_B164,Advanteage,owen bussiness man,Businees Owner (high),Building/Construction
L0509095611_20F5,Winterhalter sarvicing engineer,electrical engineer,Technical/White Collar (High),Specialized engineers
L0408095637,Finac,owen of the relince company,Businees Owner (high),Business Owner
L0424191548_E1D1,Dk,driver,Blue Collar - mobile,Driver/Delivery
L0410154836,Rk pest cotrol,own finance bussiness,Businees Owner (high),Business Owner
L0418153154,It,hardwatre engineer,Technical/White Collar (High),Specialized engineers
L0408110413,Fild work text tiler,office staff and field exicutive,Blue Collar - mobile,Office staff (low- medium)
L0612095352_E44C,Sr procrsor,it company maneger,Technical/White Collar (High),Manager
L0420085807,Empalais,marketing executive,Blue Collar - mobile,Field worker
L0530165130_DC0A,Macanical,field worker,Blue Collar - mobile,Field worker
L0208184827,Marketing,sales officer,Blue Collar - mobile,Field worker
L0303180448,Business,own business company flite parts manifactureing,Businees Owner (high),Business Owner
L0426113753_3F85,Owan busanes,chairs manifacturing bussiness,Businees Owner (high),Business Owner
L0318175818,it,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0223083200,Field manegar,real estate devalopers,Miscellaneous Shop Owner (medium),Real Estate
L0424202459_EAC1,Agreculture work,electrical technician,Blue Collar - fixed,Manual/Non-Office workers
L0424171444_1D7F,occ_name,accountant in company,Specialized professions,Accountant
L0505124628_5509,Bussiness,working in owen construction,Businees Owner (high),Building/Construction
L0428123453_A627,Self employed,owen business owen computer sales shop,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0420102121,BBMP AR,woring in corporation as a assistant manager,Technical/White Collar (Medium),Manager
L0222094327,It propesnal,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0422104610_7E7A,Canjecion pilad work,superviros auqa guard,Blue Collar - fixed,Supervisor
L0306173746,Bbm,student,Student,Student
L0411161512,Service engier,software engineer,Technical/White Collar (High),Software Engineers and developers
L0526192923_0894,Business,owen business jwelary shop owner,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0317171115,no,softwae engineer,Technical/White Collar (High),Software Engineers and developers
L0522173559_0E5A,Avp,wealth manager,Technical/White Collar (High),Manager
L0422084355_B30C,fair machine work,cab driver,Blue Collar - mobile,Driver/Delivery
L0221200203,travel agency,field worker in travell agency,Blue Collar - mobile,Driver/Delivery
L0426093542_6348,Traffic wordan,valentary traffic warden/police,Blue Collar - mobile,Field worker
L0315172146,Bds,farmacy student,Student,Student
L0309180523,Pro officer,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0324091429,athore starstistics,athour starstics work,Blue Collar - fixed,Field worker
L0427125648_C85E,Kichen aquminer,commercial kitchen equptments manifacturibg,Businees Owner (high),Business Owner
L0424130317_0553,Diplomo engineer,diploma engineer,Technical/White Collar (High),Engineer (vague)
L0327135906,bbmp supervisoer,working in bbmp supervisor,Blue Collar - fixed,Supervisor
L0315100611,Reyal estate agence,Real estate business,Miscellaneous Shop Owner (medium),Real Estate
L0524090011_2E62,AC,mecanical,Blue Collar - mobile,Manual/Non-Office workers
L0411083425,Dtdc coriyar,marketing coriyar,Blue Collar - mobile,Field worker
L0509201048_32A7,Maneger,bank manager,Technical/White Collar (High),Manager
L0517180315_A747,Garments,own bussiness,Businees Owner (high),Business Owner
L0522102108_E5FC,Itc compeny,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0511102846_87DE,Owan busenas,partener in a company,Businees Owner (high),Business Owner
L0306115410,Real estate,real estate and investments,Miscellaneous Shop Owner (medium),Real Estate
L0308170807,Service enginer,machanical engineer,Technical/White Collar (High),Specialized engineers
L0302173835,team leader,softwareengineer,Technical/White Collar (High),Software Engineers and developers
L0424084355_8B29,Phosta offic,field work in post office,Blue Collar - mobile,Field worker
L0324132145,jonior martchent,working nin garments as a superviosor,Blue Collar - fixed,Supervisor
L0413124610,Medical reparsent,medical exucutive,Blue Collar - mobile,Field worker
L0511112815_571B,Do,director of the ouwn company,Businees Owner (high),Business Owner
L0426163234_5E19,Digree,marketing work,Blue Collar - mobile,Driver/Delivery
L0425122407_1704,Hellila,bussiness devalopment manager,Technical/White Collar (High),Manager
L0504124342_FCBF,Asscon,working in bescom as junior engineer,Technical/White Collar (High),Engineer (vague)
L0519120002_70D4,Consaltent,swaftware engineer,Technical/White Collar (High),Software Engineers and developers
L0317172945,Sda,working in bank as supervisor,Technical/White Collar (Medium),Supervisor
L0428170536_7ED5,Courier,field worker,Blue Collar - mobile,Field worker
L0309093151,Consultant,chartered accountnt,Specialized professions,Accountant
L0601100455_4978,manegar,working in comany as store manager,Technical/White Collar (High),Manager
L0420093133,Bescom work,bescom,Technical/White Collar (Medium),Government employee
L0228080530,Cebrication,cebrication drilling work,Blue Collar - mobile,Manual/Non-Office workers
L0508190836_7879,99,no response,,
L0419100737,Bank Account(prvait),working in bank as accountant,Specialized professions,Accountant
L0408115625,Bussiness,shop ower medicean distrubution,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0517121904_045A,Bsz,west managegment in bbmp,Blue Collar - mobile,Field worker
L0303164952,maner propretar,company propariter,Businees Owner (high),Business Owner
L0518084624_1761,Welader workrs,labour,Blue Collar - fixed,Manual/Non-Office workers
L0314122529,Ericssion Ltd engg,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0424135113_FACB,Jrf students,phd student,Student,Student
L0208195435,siner excutive,assistent manager,Technical/White Collar (High),Manager
L0512161711_ED37,Supervisor,supervisor,Technical/White Collar (Medium),Supervisor
L0221083908,Fied work,field worker,Blue Collar - mobile,Field worker
L0417203207,No response,driver,Blue Collar - mobile,Driver/Delivery
L0223085715,beauty parler,delivery man,Blue Collar - mobile,Driver/Delivery
L0420090336,Apartment incharge,apartment incharge/maintenence,Blue Collar - fixed,Manual/Non-Office workers
L0311105330,99,engineer,Technical/White Collar (High),Engineer (vague)
L0308163524,Operter,zerax center owner,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0412153624,Center bay,zerox shop owen,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0421094427,Apartment mentions,apartment incharge/maintenence,Blue Collar - fixed,Manual/Non-Office workers
L0323155953,paster,accountant maintenence,Specialized professions,Accountant
L0408194808,Logestic company,admin,Technical/White Collar (Medium),Office staff (low- medium)
L0418140057,Co operative society,software enineer,Technical/White Collar (High),Software Engineers and developers
L0421103706,Bank accounte,accountant in company,Specialized professions,Accountant
L0417211454,sery sales,sales man,Blue Collar - mobile,Sales person
L0525103515_DA90,Dejoainar,designer,Specialized professions,Other
L0505115836_B751,Marketing,marketing,Technical/White Collar (Medium),Semi-Technical staff
L0420145724,Codineter,clouth distrubutor in alpa copmany,Blue Collar - mobile,Sales person
L0526145100_F1C6,99,he not ready to give the occupation,,
L0417132132,Bbmp,bbmp,Blue Collar - mobile,Supervisor
L0504150317_76F0,Executive,filed cxicutive,Blue Collar - mobile,Field worker
L0525104002_B610,Gold work,gold shop owenr,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0418093957,As,manager kotak bank,Technical/White Collar (High),Manager
L0407144803,co ordinator,working in bank as supervisor,Technical/White Collar (Medium),Supervisor
L0422184431_6CFB,Sales,sales man,Blue Collar - mobile,Sales person
L0424112134_9086,Bussiness,profationaly car driver,Blue Collar - mobile,Driver/Delivery
L0419193157,Gun Man,he is company vehicle driver,Blue Collar - mobile,Driver/Delivery
L0321140834,advertisement,owen bussiness man,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0421203049,Service engineer,engineer working in ibm company,Technical/White Collar (High),Engineer (vague)
L0220170419,Finance,working in finance as a clurk,Technical/White Collar (Medium),Office staff (low- medium)
L0601183636_448D,Business,company owenr,Businees Owner (high),Business Owner
L0428112810_BDD4,Advertisement outdoor adtisior,advertisiment in media outdoor,Blue Collar - mobile,Field worker
L0519102853_61C0,Marketing,marketing,Technical/White Collar (Medium),Field worker
L0516110343_DDF5,Service,manager it company,Technical/White Collar (High),Manager
L0311182227,Superviser,field supervisor,Blue Collar - mobile,Supervisor
L0424120539_1A4D,propraitor,manifacturing industry,Businees Owner (high),Business Owner
L0321131921,Own travals,field worker,Blue Collar - mobile,Field worker
L0206193403,Consoltent manager,working in relince company as consaltant,Technical/White Collar (High),Semi-Technical staff
L0209092252,999,engineer,Technical/White Collar (High),Engineer (vague)
L0518103739_0D60,Bussiness,sales asistent manager,Technical/White Collar (High),Manager
L0302164851,Busines,owen finance company,Businees Owner (high),Business Owner
L0208100638,Reginal manager,reginal manager,Technical/White Collar (High),Manager
L0426100005_B2C4,I t professional,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0207092010,sevice,technician in bosch company,Blue Collar - fixed,Manual/Non-Office workers
L0303195215,telecom,telicom manager,Technical/White Collar (High),Manager
