uidp_original,occupation,occ_name,In-detail Category (edited),Broad Category
L0417171506,,,,
L0224194827,,,,
L0526162107_1187,,,,
L0318080659,,,,
L0505170107_472F,,,,
L0322131053,,,,
L0520100802_5370,,,,
L0408175426,,,,
L0513120939_C827,,,,
L0523151434_61A6,,,,
L0526150704_FC82,,,,
L0424180026_FECA,,,,
L0320132742,,,,
L0411085715,,,,
L0419091743,,,,
L0515111051_8550,,,,
L0515093958_2F6A,,,,
L0410202621,,,,
L0408201524,,,,
L0411105845,,,,
L0410160953,,,,
L0502194403_12DD,,,,
L0410152409,,,,
L0411170706,,,,
L0406184138,,,,
L0408182345,,,,
L0411102517,,,,
L0417204326,,,,
L0506202305_AC91,,,,
L0407184514,,,,
L0202105014,,,,
L0317085616,,,,
L0422174716_9BF0,,,,
L0520112618_66EC,,,,
L0607125324_0296,,,,
L0208085326,,,,
L0518182807_25FF,,,,
L0519081155_407C,,,,
L0207083618,,,,
L0408181826,,,,
L0509095900_5553,,,,
L0421185104,,,,
L0317083152,,,,
L0610095755_44AE,,,,
L0419181306,,,,
L0412120536,,,,
L0413084738,,,,
L0408171830,,,,
L0516124130_2383,,,,
L0304083427,,,,
L0425091257_3F31,,,,
L0224192235,,,,
L0202095453,,,,
L0227100946,,,,
L0502165144_BAE4,,,,
L0413180942,,,,
L0327193017,,,,
L0421082940,,,,
L0504155311_16A5,,,,
L0222091614,,,,
L0419182113,,,,
L0308130617,,,,
L0504131611_04B3,,,,
L0407181009,,,,
L0525172859_F551,,,,
L0313110709,,,,
L0407164020,,,,
L0207181306,,,,
L0302082157,,,,
L0307101954,,,,
L0407155025,,,,
L0424095231_B1E0,,,,
L0424080937_4F3C,,,,
L0224115929,,,,
L0222175839,,,,
L0424172632_676D,,,,
L0417100827,,,,
L0320184405,,,,
L0412110000,,,,
L0414083028,,,,
L0404172420,,,,
L0427174649_2699,,,,
L0404091742,,,,
L0502122142_BAE7,,,,
L0412111935,,,,
L0505170647_121D,,,,
L0429111950_F938,,,,
L0417181704,,,,
L0303182720,,,,
L0331094259,,,,
L0523184109_1478,,,,
L0511203106_FF15,,,,
L0418201534,,,,
L0327115608,,,,
L0426145627_04B1,,,,
L0207171308,,,,
L0517092204_233A,,,,
L0208091055,,,,
L0410094631,,,,
L0410120909,,,,
L0505203239_A748,,,,
L0412165207,,,,
L0524104856_602A,,,,
L0227111758,,,,
L0228102859,,,,
L0202112937,,,,
L0425083604_F56A,,,,
L0523174622_6B79,,,,
L0325092738,,,,
L0506195910_457C,,,,
L0523173204_324F,,,,
L0221081210,,,,
L0309190031,,,,
L0406193140,,,,
L0428161833_8F10,,,,
L0523102228_93EF,,,,
L0526143212_B1DE,,,,
L0320171532,,,,
L0506152617_0AA3,,,,
L0524175415_5D22,,,,
L0411190450,,,,
L0228093851,,,,
L0207084516,,,,
L0420121242,,,,
L0320080342,,,,
L0526193007_4A0C,,,,
L0202092308,,,,
L0323093029,,,,
L0306190022,,,,
L0324121109,,,,
L0407112102,,,,
L0509161113_6844,,,,
L0525114154_BD87,,,,
L0523125759_3807,,,,
L0302092101,,,,
L0506151500_1E29,,,,
L0424171709_9597,,,,
L0322092354,,,,
L0227081741,,,,
L0505123718_17AA,,,,
L0509170706_C571,,,,
L0517185919_715E,,,,
L0223094616,,,,
L0321093618,,,,
L0408152849,,,,
L0425124526_A844,,,,
L0421154512,,,,
L0227105826,,,,
L0419113835,,,,
L0609132137_A924,,,,
L0411162512,,,,
L0527100930_7D9F,,,,
L0425101019_45F6,,,,
L0224193605,,,,
L0320131322,,,,
L0411080422,,,,
L0318181617,,,,
L0407145151,,,,
L0318184608,,,,
L0325122156,,,,
L0318083748,,,,
L0512151430_E798,,,,
L0523161326_1228,,,,
L0524185908_0B75,,,,
L0410155050,,,,
L0424183824_4744,,,,
L0420174545,,,,
L0408171012,,,,
L0421202722,,,,
L0425092530_3A76,,,,
L0304103532,,,,
L0418132948,,,,
L0410113059,,,,
L0228160636,,,,
L0316101342,,,,
L0207082949,,,,
L0414191903,,,,
L0406190929,,,,
L0505175910_C318,,,,
L0522164745_3A58,,,,
L0301104426,,,,
L0504190412_9C5D,,,,
L0417152514,,,,
L0207081433,,,,
L0504092749_7BB5,,,,
L0419165735,,,,
L0411094111,,,,
L0425113530_C04E,,,,
L0408160742,,,,
L0420172700,,,,
L0422180654_8CE6,,,,
L0227093902,,,,
L0512155127_5C72,,,,
L0302093250,,,,
L0502091019_474D,,,,
L0417194346,,,,
L0306083427,,,,
L0428085318_BC35,,,,
L0506181719_E169,,,,
L0227094459,,,,
L0518115731_D9BD,,,,
L0502200055_14E7,,,,
L0428093042_9C88,,,,
L0410172055,,,,
L0412100229,,,,
L0222084707,,,,
L0301081035,,,,
L0506162105_FAA1,,,,
L0225174434,,,,
L0206200353,,,,
L0224105003,,,,
L0309161131,,,,
L0503181220_7AA7,,,,
L0509204829_3F69,,,,
L0425150457_0090,,,,
L0502144828_88BA,,,,
L0321113943,,,,
L0506194706_8D88,,,,
L0308114811,,,,
L0418133906,,,,
L0202095728,,,,
L0520155943_25E9,,,,
L0519101527_A84D,,,,
L0525172337_F4B3,,,,
L0208102718,,,,
L0520154302_F691,,,,
L0420180240,,,,
L0503204404_6EF0,,,,
L0324085640,,,,
L0504110607_5742,,,,
L0224172506,,,,
L0412171848,,,,
L0324094715,,,,
L0419083025,,,,
L0304192616,,,,
L0304185348,,,,
L0222155920,,,,
L0306110547,,,,
L0208180308,,,,
L0424094631_24A7,,,,
L0304114510,,,,
L0422180210_F500,,,,
L0512151720_A224,,,,
L0304085509,,,,
L0301113938,,,,
L0413082101,,,,
L0310102510,,,,
L0301102035,,,,
L0407120607,,,,
L0408194126,,,,
L0426185028_FB7D,,,,
L0320173728,,,,
L0424165105_32EB,,,,
L0413155330,,,,
L0511180327_3CB1,,,,
L0426170429_6C93,,,,
L0429105629_E586,,,,
L0304102645,,,,
L0227185204,,,,
L0413114620,,,,
L0513113633_8605,,,,
L0301091921,,,,
L0517162618_CF43,,,,
L0220093322,,,,
L0303081131,,,,
L0407172724,,,,
L0412152815,,,,
L0530094413_427F,,,,
L0427145118_57E9,,,,
L0227175400,,,,
L0302090142,,,,
L0309172953,,,,
L0302084914,,,,
L0422183825_84B2,,,,
L0204121339,,,,
L0222082029,,,,
L0426170000_6B71,,,,
L0422090257_0391,,,,
L0222174454,,,,
L0508182056_1FB6,,,,
L0408182227,,,,
L0221095551,,,,
L0526085126_8555,,,,
L0428192516_A92F,,,,
L0608124903_F072,,,,
L0419182637,,,,
L0227202236,,,,
L0525090138_34A1,,,,
L0422181944_96E5,,,,
L0418104140,,,,
L0227171231,,,,
L0208101513,,,,
L0524195347_0891,,,,
L0506184314_C934,,,,
L0526095402_974D,,,,
L0523174010_DF6C,,,,
L0520182535_4465,,,,
L0207091759,,,,
L0503201504_4AD2,,,,
L0227105234,,,,
L0411181530,,,,
L0504110453_F481,,,,
L0421162931,,,,
L0424132116_8C2E,,,,
L0429082534_B3F1,,,,
L0505204332_9B68,,,,
L0508101348_AE59,,,,
L0411080449,,,,
L0420185952,,,,
L0422194040_928F,,,,
L0208165710,,,,
L0524161136_4759,,,,
L0224180851,,,,
L0525114800_08B3,,,,
L0407162303,,,,
L0224181443,,,,
L0517083734_0265,,,,
L0410165853,,,,
L0411180949,,,,
L0607085504_51AA,,,,
L0421173706,,,,
L0323103153,,,,
L0222201013,,,,
L0503193705_09FC,,,,
L0309192823,,,,
L0524094004_6267,,,,
L0428103519_C588,,,,
L0422170603_B5E1,,,,
L0421082137,,,,
L0418100959,,,,
L0224092112,,,,
L0412152424,,,,
L0418102809,,,,
L0523155943_9D9F,,,,
L0414105317,,,,
L0412083409,,,,
L0411173401,,,,
L0301190358,,,,
L0608194324_BB4D,,,,
L0523121042_87C2,,,,
L0506154339_BAFE,,,,
L0410180823,,,,
L0412082524,,,,
L0411102609,,,,
L0221112009,,,,
L0502203706_4D3A,,,,
L0410145109,,,,
L0517124352_80F2,,,,
L0222091910,,,,
L0224105127,,,,
L0523105115_14CA,,,,
L0524155031_F26E,,,,
L0425090154_54AB,,,,
L0414194236,,,,
L0519091518_D548,,,,
L0407173602,,,,
L0512182628_36D4,,,,
L0424090651_E626,,,,
L0523090754_D4B8,,,,
L0421191405,,,,
L0422184912_31AC,,,,
L0303081249,,,,
L0522113556_540B,,,,
L0524081232_545B,,,,
L0428102332_3AE1,,,,
L0222085532,,,,
L0422192604_9849,,,,
L0420170953,,,,
L0605100340_686A,,,,
L0512124719_FD6F,,,,
L0412113926,,,,
L0526203530_C6C1,,,,
L0304102144,,,,
L0516100153_15B8,,,,
L0421185706,,,,
L0520090648_3AE4,,,,
L0412181917,,,,
L0207092425,,,,
L0406131929,,,,
L0505104858_03D4,,,,
L0208100515,,,,
L0221102010,,,,
L0503203307_ED48,,,,
L0323090906,,,,
L0302100434,,,,
L0529152458_0855,,,,
L0419200800,,,,
L0518112107_D239,,,,
L0505202407_08D1,,,,
L0419164115,,,,
L0527151352_B18F,,,,
L0527133611_59D9,,,,
L0527132111_F466,,,,
L0529123102_650B,,,,
L0527090537_4CCC,,,,
L0613081243_73A4,,,,
L0301094326,,,,
L0303103733,,,,
L0307083503,,,,
L0526155834_0BA6,,,,
L0427101515_D98F,,,,
L0413172954,,,,
L0526083506_1FB1,,,,
L0303110907,,,,
L0505165347_4AF8,,,,
L0522194312_66B4,,,,
L0224080445,,,,
L0506161442_9C75,,,,
L0209114959,,,,
L0401084016,,,,
L0525122435_3A23,,,,
L0429153232_33B0,,,,
L0414102647,,,,
L0525173454_3133,,,,
L0523112144_0A6D,,,,
L0506174305_A63D,,,,
L0420174751,,,,
L0209172646,,,,
L0505091040_8B41,,,,
L0410170921,,,,
L0506090624_8DAE,,,,
L0318094112,,,,
L0517091612_D20E,,,,
L0428084938_C414,,,,
L0505164939_D603,,,,
L0407183852,,,,
L0505151101_B2FC,,,,
L0505145909_2769,,,,
L0413105640,,,,
L0424103607_F382,,,,
L0426155245_7F3E,,,,
L0321091753,,,,
L0504182311_49A0,,,,
L0227094530,,,,
L0504155050_14E8,,,,
L0508111205_A313,,,,
L0504151800_E2AB,,,,
L0220092649,,,,
L0516080835_5D58,,,,
L0504145606_A76B,,,,
L0502101521_C154,,,,
L0420171851,,,,
L0422123030_DA27,,,,
L0202094624,,,,
L0414191711,,,,
L0302102114,,,,
L0503193129_4392,,,,
L0503192724_8999,,,,
L0503194505_2967,,,,
L0518120906_1ABB,,,,
L0325134822,,,,
L0503165126_BF6D,,,,
L0523110346_4E81,,,,
L0221114113,,,,
L0502201305_DCF0,,,,
L0207091518,,,,
L0419153129,,,,
L0321094147,,,,
L0321184257,,,,
L0523172318_1E98,,,,
L0223193558,,,,
L0221094559,,,,
L0403111354,,,,
L0508091348_1521,,,,
L0301122920,,,,
L0421153318,,,,
L0221153109,,,,
L0220191232,,,,
L0512183745_BCB3,,,,
L0503075630_8734,,,,
L0208101057,,,,
L0427200546_A248,,,,
L0523111449_B9F5,,,,
L0502152346_6BA6,,,,
L0302090419,,,,
L0502103654_898F,,,,
L0519083636_673C,,,,
L0523085755_EAF4,,,,
L0428175959_9959,,,,
L0502150403_7707,,,,
L0412115551,,,,
L0506170918_2E38,,,,
L0603085330_1394,,,,
L0513084335_8495,,,,
L0526102930_291B,,,,
L0419104103,,,,
L0429153832_A683,,,,
L0418174428,,,,
L0523201232_BD4C,,,,
L0414081911,,,,
L0325111129,,,,
L0408174633,,,,
L0429111304_26CB,,,,
L0426184408_3563,,,,
L0208085915,,,,
L0408180634,,,,
L0428192025_911A,,,,
L0406202615,,,,
L0428190227_DE01,,,,
L0505183151_0A4F,,,,
L0428185616_9A83,,,,
L0413092546,,,,
L0428183219_089E,,,,
L0427153309_E582,,,,
L0412093411,,,,
L0202105535,,,,
L0411184850,,,,
L0505084747_DE6C,,,,
L0304104331,,,,
L0202121032,,,,
L0524193945_D1B1,,,,
L0306103754,,,,
L0503195306_CBE5,,,,
L0508182700_D80C,,,,
L0504145742_1785,,,,
L0424180042_8A8B,,,,
L0520082324_B106,,,,
L0427204312_5419,,,,
L0505092629_5684,,,,
L0324133823,,,,
L0419195825,,,,
L0418105257,,,,
L0503164609_34F2,,,,
L0220124937,,,,
L0427162919_35D7,,,,
L0505111242_9422,,,,
L0202110948,,,,
L0202104029,,,,
L0207110511,,,,
L0207104927,,,,
L0427080149_1B86,,,,
L0407163134,,,,
L0202101001,,,,
L0505112728_F856,,,,
L0503204107_6870,,,,
L0420160504,,,,
L0311193704,,,,
L0426173628_DF79,,,,
L0426172604_B690,,,,
L0506203231_E126,,,,
L0422184248_3302,,,,
L0408105040,,,,
L0413133122,,,,
L0223201229,,,,
L0426111755_EE27,,,,
L0419153816,,,,
L0516132107_421F,,,,
L0424122548_9393,,,,
L0525165206_2B37,,,,
L0420175857,,,,
L0425150207_BE89,,,,
L0306085056,,,,
L0512183253_1FA2,,,,
L0512084251_5B84,,,,
L0520110025_C7F1,,,,
L0419184506,,,,
L0411192029,,,,
L0518181710_D32C,,,,
L0516145202_0A48,,,,
L0227191003,,,,
L0421154104,,,,
L0408164606,,,,
L0414082031,,,,
L0425132111_DDDA,,,,
L0505172807_3BBE,,,,
L0515125912_CBE6,,,,
L0424165205_A7DE,,,,
L0308151018,,,,
L0315172335,,,,
L0424194359_F8E0,,,,
L0418101430,,,,
L0407162057,,,,
L0227174451,,,,
L0421155125,,,,
L0321194816,,,,
L0301185810,,,,
L0425152800_7B12,,,,
L0425094426_C099,,,,
L0410130546,,,,
L0519102547_7099,,,,
L0202113021,,,,
L0224185117,,,,
L0509175804_1934,,,,
L0424185933_24B6,,,,
L0317081000,,,,
L0303175236,,,,
L0302185439,,,,
L0222080925,,,,
L0407191532,,,,
L0425103122_188A,,,,
L0426203806_3C7A,,,,
L0508091615_D607,,,,
L0223171955,,,,
L0424200139_2969,,,,
L0517132427_83AF,,,,
L0422181405_6D0F,,,,
L0527103150_2710,,,,
L0524084102_F33E,,,,
L0523114823_F55E,,,,
L0513120200_3E56,,,,
L0503163948_29F6,,,,
L0424163539_E3F4,,,,
L0304105905,,,,
L0301115546,,,,
L0411172910,,,,
L0301110342,,,,
L0421092006,,,,
L0222090655,,,,
L0518083947_709D,,,,
L0408091518,,,,
L0222184511,,,,
L0223083340,,,,
L0223093551,,,,
L0424123757_D48F,,,,
L0508124629_5779,,,,
L0204125639,,,,
L0424112922_C8CD,,,,
L0220100847,,,,
L0527162404_9313,,,,
L0526170805_FD7B,,,,
L0207084025,,,,
L0421120719,,,,
L0429090150_EE14,,,,
L0221191245,,,,
L0221203657,,,,
L0419102432,,,,
L0222171606,,,,
L0424090828_7C9C,,,,
L0519120620_DD87,,,,
L0327085223,,,,
L0406191503,,,,
L0512130145_5017,,,,
L0222093334,,,,
L0420120623,,,,
L0207091315,,,,
L0227200342,,,,
L0424150453_DC45,,,,
L0504172259_51C2,,,,
L0419153404,,,,
L0220094245,,,,
L0410112233,,,,
L0428120257_DFB4,,,,
L0524184018_BB43,,,,
L0418130857,,,,
L0209090957,,,,
L0527104901_0AC9,,,,
L0421121103,,,,
L0525190526_4CF9,,,,
L0209081635,,,,
L0318174631,,,,
L0512152324_0861,,,,
L0404152036,,,,
L0412085544,,,,
L0408091210,,,,
L0325172117,,,,
L0316104105,,,,
L0427205100_1C7E,,,,
L0426153517_DF0C,,,,
L0518111303_4C2C,,,,
L0410113052,,,,
L0412201511,,,,
L0324111107,,,,
L0406194531,,,,
L0524200637_F954,,,,
L0529193205_17EF,,,,
L0222092213,,,,
L0523110501_80F1,,,,
L0524194157_8070,,,,
L0208105620,,,,
L0519104339_F448,,,,
L0523085222_E750,,,,
L0424165350_3769,,,,
L0512101808_6F89,,,,
L0221193046,,,,
L0208173938,,,,
L0406094756,,,,
L0420130256,,,,
L0220100324,,,,
L0320175756,,,,
L0221172144,,,,
L0607092014_F41B,,,,
L0506114744_AB16,,,,
L0519152019_5691,,,,
L0406193623,,,,
L0424182734_29C2,,,,
L0324082517,,,,
L0220181214,,,,
L0412081905,,,,
L0224101227,,,,
L0220083626,,,,
L0222170856,,,,
L0425081743_7F33,,,,
L0610093151_A335,,,,
L0223082155,,,,
L0204120740,,,,
L0418083940,,,,
L0519170508_64FD,,,,
L0223092439,,,,
L0222185513,,,,
L0207114519,,,,
L0209115112,,,,
L0407184547,,,,
L0526111822_8DFF,,,,
L0428163209_3165,,,,
L0209111304,,,,
L0412180508,,,,
L0527134405_A8C7,,,,
L0428133137_B13B,,,,
L0418095817,,,,
L0516133144_2047,,,,
L0418155004,,,,
L0503183448_2BEE,,,,
L0517120730_293C,,,,
L0525161647_0457,,,,
L0522115650_F29B,,,,
L0522111233_5AE2,,,,
L0301093251,,,,
L0428093914_CA4C,,,,
L0427173948_48BA,,,,
L0220184626,,,,
L0504095219_EB71,,,,
L0525103852_0213,,,,
L0524183744_DA32,,,,
L0412085810,,,,
L0525101915_C841,,,,
L0424110747_34EF,,,,
L0522090048_BFCE,,,,
L0522083914_3A13,,,,
L0522082655_16B4,,,,
L0412084355,,,,
L0513082715_A0A8,,,,
L0206194957,,,,
L0420154835,,,,
L0317102934,,,,
L0304104722,,,,
L0411183353,,,,
L0204110912,,,,
L0224102642,,,,
L0413095440,,,,
L0308150803,,,,
L0304085608,,,,
L0424164504_F5C4,,,,
L0421130426,,,,
L0320092321,,,,
L0206193953,,,,
L0531181248_DA43,,,,
L0407174359,,,,
L0417154139,,,,
L0223084105,,,,
L0207095352,,,,
L0421115457,,,,
L0304111842,,,,
L0411115130,,,,
L0506091635_C136,,,,
L0525091816_2923,,,,
L0221091239,,,,
L0530115945_7B81,,,,
L0503165416_72DC,,,,
L0503164413_524F,,,,
L0204122545,,,,
L0427150637_C56D,,,,
L0515091655_62F3,,,,
L0420092803,,,,
L0411160717,,,,
L0519191709_D46C,,,,
L0413093705,,,,
L0506185106_7EF6,,,,
L0511194403_E0F9,,,,
L0411093734,,,,
L0317102406,,,,
L0223203911,,,,
L0408165643,,,,
L0519125155_F826,,,,
L0509101532_4ECC,,,,
L0202112301,,,,
L0512103750_093D,,,,
L0407160010,,,,
L0220122713,,,,
L0425091238_387C,,,,
L0516090018_7F1C,,,,
L0428162322_DA00,,,,
L0407152807,,,,
L0323082455,,,,
L0523191716_CE7D,,,,
L0426151551_D832,,,,
L0420155823,,,,
L0412194516,,,,
L0225162216,,,,
L0424111039_DF9C,,,,
L0207194757,,,,
L0505122450_8F83,,,,
L0410161535,,,,
L0223201139,,,,
L0516122415_AB5E,,,,
L0424185309_20F8,,,,
L0519183707_8273,,,,
L0321124604,,,,
L0518175113_1EBF,,,,
L0525195629_3DA4,,,,
L0424180536_753C,,,,
L0426161229_7CEF,,,,
L0518123522_8664,,,,
L0428193001_42A8,,,,
L0421164856,,,,
L0204122634,,,,
L0320190500,,,,
L0207173624,,,,
L0419171228,,,,
L0525183548_ACB5,,,,
L0504172447_6930,,,,
L0303101448,,,,
L0504152300_931D,,,,
L0509165804_F37D,,,,
L0519085108_A52E,,,,
L0526204209_25EE,,,,
L0517191102_BCD6,,,,
L0425165605_2FAC,,,,
L0418155433,,,,
L0408190738,,,,
L0207082837,,,,
L0407162529,,,,
L0426193503_A82E,,,,
L0228081452,,,,
L0523113243_15BD,,,,
L0523154223_5D44,,,,
L0509093654_2683,,,,
L0419105914,,,,
L0422150713_CA29,,,,
L0526164913_82FD,,,,
L0302110101,,,,
L0425164747_F9FA,,,,
L0425130916_CADA,,,,
L0424160819_EE26,,,,
L0429123901_E85C,,,,
L0527152744_7424,,,,
L0323113158,,,,
L0209103149,,,,
L0517130816_4CD6,,,,
L0523104323_A717,,,,
L0524161530_D068,,,,
L0425083405_2442,,,,
L0418191055,,,,
L0327131933,,,,
L0224184318,,,,
L0504115822_2BED,,,,
L0407105209,,,,
L0429154703_D95C,,,,
L0426203407_DCB0,,,,
L0320174518,,,,
L0523094405_FB26,,,,
L0418112509,,,,
L0331081514,,,,
L0516110205_9407,,,,
L0518182423_CAB8,,,,
L0421195643,,,,
L0220192949,,,,
L0503183713_6111,,,,
L0503191905_14D4,,,,
L0417131805,,,,
L0424121152_F11B,,,,
L0325131141,,,,
L0221171418,,,,
L0526191741_E240,,,,
L0511204135_E412,,,,
L0304170159,,,,
L0317095304,,,,
L0307080902,,,,
L0413153458,,,,
L0207094847,,,,
L0202102419,,,,
L0516102558_81CB,,,,
L0506151427_517C,,,,
L0425084100_F951,,,,
L0523191906_B6ED,,,,
L0522124026_62D8,,,,
L0504085220_D237,,,,
L0505123003_D81A,,,,
L0425174218_8FFA,,,,
L0421191805,,,,
L0508093502_53D1,,,,
L0204113209,,,,
L0413151352,,,,
L0204112352,,,,
L0505183912_FF75,,,,
L0428160617_1683,,,,
L0530162452_1D11,,,,
L0412195638,,,,
L0410135604,,,,
L0524122944_A007,,,,
L0426173603_325D,Government employee,Bank Job Clerk,Bank worker,Technical/White Collar (Medium)
L0411104855,Government employee,Note Resapone,,
L0422175821_BCD1,DK/NR,-99,,
L0411170617,DK/NR,-99,,
L0412185447,"Unemployed, not working, disabled or retired",-99,,
L0412173044,DK/NR,-99,,
L0418160520,DK/NR,-99,,
L0411153026,DK/NR,-99,,
L0408174447,Employed (full-time),-99,,
L0421165625,DK/NR,-99,,
L0411160257,DK/NR,-99,,
L0407170401,DK/NR,-99,,
L0419150955,DK/NR,-99,,
L0411172805,DK/NR,-99,,
L0424171444_1D7F,"Unemployed, not working, disabled or retired",-99,,
L0420180845,DK/NR,-99,,
L0410164746,DK/NR,0,,
L0413170435,Student,0,,
L0414102006,Self-employed,0,,
L0411182057,DK/NR,0,,
L0412154158,DK/NR,0,,
L0411174727,DK/NR,0,,
L0410160337,DK/NR,0,,
L0412161207,Student,0,,
L0322191008,Student,2 P U C,Student,Student
L0321143821,Student,2 P U C,Student,Student
L0509084542_17D2,Employed (full-time),2 Wheler Shoroom Nalli Work Madtare,Sales person,Technical/White Collar (High)
L0302081918,Student,2Nd Year,Student,Student
L0418111833,Student,2Ndpu,Student,Student
L0310180113,Student,2Puc,Student,Student
L0429100524_7342,DK/NR,99,,
L0209083554,DK/NR,99,,
L0517141526_848F,Employed (full-time),99,,
L0222182722,DK/NR,99,,
L0314104228,DK/NR,99,,
L0311193007,DK/NR,99,,
L0207180128,DK/NR,99,,
L0314102938,DK/NR,99,,
L0530092004_9738,DK/NR,99,,
L0317130714,DK/NR,99,,
L0304113920,DK/NR,99,,
L0220092422,DK/NR,99,,
L0526145100_F1C6,Employed (full-time),99,,
L0310081011,DK/NR,99,,
L0408082946,DK/NR,99,,
L0603163035_6517,Employed (full-time),99,,
L0224182625,DK/NR,99,,
L0224174644,Employed (full-time),99,,
L0209113634,DK/NR,99,,
L0311083055,DK/NR,99,,
L0420173259,Self-employed,99,,
L0421191331,Employed (full-time),99,,
L0410113031,Employed (full-time),99,,
L0221184401,DK/NR,99,,
L0602162430_DC1C,Employed (full-time),99,,
L0209105111,DK/NR,99,,
L0531184308_A140,Employed (full-time),99,,
L0515102933_8193,DK/NR,99,,
L0224115012,Self-employed,99,,
L0311105330,DK/NR,99,,
L0508190836_7879,Employed (full-time),99,,
L0325132832,DK/NR,99,,
L0314092402,DK/NR,99,,
L0224183755,DK/NR,99,,
L0322094322,DK/NR,99,,
L0612090815_F4E3,DK/NR,99,,
L0408084302,DK/NR,99,,
